explainer,mean,std,count
SmoothPullback,0.6348896927833557,0.10258011085649694,500
SoftPullback,0.6249628970623017,0.1649569830810102,500
FusionPullback,0.6156639582812786,0.10479139758157963,500
FusionGrad,0.6052896913290023,0.10414392622043968,500
SmoothGrad,0.5921866624355316,0.11143065393069748,500
Gradient,0.5608855731487274,0.17034238561302364,500
IntegratedGradients,0.5595270597785711,0.177090987126231,500
GradientShap,0.5536715014725924,0.17923835499620946,500
PullbackAscent,0.5531210206151008,0.09483851114335992,500
DeepLift,0.5506547381728888,0.20343228373929473,500
GradientAscent,0.5473810495138168,0.09931912912756666,500
