,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,random_logit
SoftPullback,4.962±4.955,0.006±0.107,0.048±0.525,0.405±0.22,1.116±0.138,-0.025±0.358
DoublePullback,2.479±2.907,0.021±0.105,0.227±0.468,0.525±0.243,1.123±0.144,0.066±0.092
PullbackAscent,5.67±5.657,0.064±0.107,0.254±0.395,0.613±0.271,0.882±0.095,0.125±0.103
PullbackAscentNoClip,1.354±0.742,0.045±0.107,0.369±0.394,0.633±0.248,0.88±0.097,0.119±0.105
Gradient,9.54±6.608,0.061±0.099,-0.004±0.487,0.583±0.188,0.954±0.396,-0.015±0.163
Saliency,8.74±6.814,-0.011±0.097,0.102±0.521,0.074±0.377,0.769±0.085,0.55±0.094
DeepLift,11.956±8.073,-0.038±0.109,0.096±0.487,-0.425±0.264,1.036±0.41,-0.019±0.182
InputXGradient,11.738±8.158,-0.026±0.09,0.092±0.514,-0.425±0.264,1.012±0.365,-0.019±0.182
Deconvolution,9.091±6.475,0.063±0.115,-0.033±0.49,0.583±0.188,0.939±0.377,-0.015±0.163
