,infidelity,faithfulness_correlation,monotonicity_correlation,faithfulness_estimate,max_sensitivity,random_logit
SoftPullback,4.667±3.979,0.098±0.119,0.575±0.426,0.512±0.186,0.112±0.028,-0.115±0.41
DoublePullback,4.514±3.861,0.102±0.101,0.592±0.414,0.509±0.187,0.113±0.028,-0.109±0.41
PullbackAscent,25.293±35.782,0.067±0.104,0.531±0.461,0.532±0.195,0.26±0.074,0.182±0.174
PullbackAscentNoClip,4.076±3.2,0.065±0.103,0.599±0.41,0.529±0.174,0.235±0.074,0.194±0.187
Gradient,72.573±54.493,0.029±0.097,0.155±0.501,0.35±0.244,0.972±0.19,-0.082±0.204
Saliency,50.141±48.141,0.002±0.091,0.349±0.497,-0.049±0.486,0.673±0.129,0.402±0.09
DeepLift,64.964±50.578,-0.024±0.102,0.29±0.533,-0.294±0.228,1±0.197,-0.091±0.217
InputXGradient,67.564±55.471,-0.012±0.098,0.29±0.516,-0.292±0.238,1.003±0.201,-0.092±0.217
Deconvolution,33.489±30.054,0.01±0.104,0.451±0.377,0.161±0.261,0.586±0.136,1±5.23e-05
